States,Coal,Natural Gas,Crude Oil,Nuclear,Renewable,Total Production,Consumption,Difference,Percent Difference
Alabama,303.5,92.5,20.4,476.4,210.4,1103.2,1860.2,-757,-40.69454897
Alaska,15.5,410.7,884.4,0,10.1,1320.8,747,573.8,76.81392236
Arizona,0,0,0,329.5,81.6,411.1,1526.6,-1115.5,-73.07087646
Arkansas,0,399.1,25.3,156.5,90.4,671.3,1049.9,-378.6,-36.0605772
California,0,148.9,673.2,185.2,634.3,1641.6,6816.7,-5175.1,-75.91796617
Colorado,256.2,2245.8,948.9,0,108.5,3559.3,1368.3,2191,160.1257034
Connecticut,0,0,0,142.9,35,177.9,689,-511.1,-74.17997097
Delaware,0,0,0,0,3.3,3.3,268.5,-265.2,-98.77094972
Florida,0,0.7,5.8,312.9,212.1,531.6,4301.7,-3770.1,-87.64209499
Georgia,0,0,0,390.7,270,660.6,2838.8,-2178.2,-76.72960406
Hawaii,0,0,0,0,17.5,17.5,272.9,-255.4,-93.58739465
Idaho,0,2.6,0.2,0,74.2,76.9,505.3,-428.4,-84.78131803
Illinois,796.2,2.7,39.2,1019.7,343.2,2201.1,3487,-1285.9,-36.87697161
Indiana,539.1,4,8.7,0,257.2,809,2555.9,-1746.9,-68.34774443
Iowa,0,0,0,0,782.9,782.9,1405.3,-622.4,-44.28947556
Kansas,0,160.9,157.4,107.7,188.2,614.2,973.4,-359.2,-36.90158208
Kentucky,677.5,102.6,10.7,0,59.7,850.5,1611.1,-760.6,-47.20998076
Louisiana,4.3,4423.6,194.7,127.6,247.5,4997.7,4166.8,830.9,19.94096189
Maine,0,0,0,0,82.8,82.8,328.6,-245.8,-74.80219111
Maryland,30.3,0,0,156.6,30.1,217,1182.6,-965.6,-81.65060037
Massachusetts,0,0,0,0,57.8,57.8,1282.7,-1224.9,-95.4938801
Michigan,0,72.8,27.5,292.6,187.5,580.4,2543.2,-1962.8,-77.17835797
Minnesota,0,0,0,124.6,304,428.7,1689.4,-1260.7,-74.62412691
Mississippi,27.5,27.9,71.5,122.8,64,313.7,1074.3,-760.6,-70.79959043
Missouri,3.1,0,0.4,95.9,110.6,210,1682,-1472,-87.51486326
Montana,520.7,45.3,128.8,0,72.4,767.1,382.2,384.9,100.7064364
Nebraska,0,0.3,9.4,72.4,319.3,401.3,840.1,-438.8,-52.23187716
Nevada,0,0,1.2,0,64.8,66,689.4,-623.4,-90.42645779
New Hampshire,0,0,0,99.7,33.3,133,294.9,-161.9,-54.89996609
New Jersey,0,0,0,296.2,39.2,335.4,1982.3,-1646.9,-83.0802603
New Mexico,147.1,3634.5,3786.3,0,83.9,7651.8,680.5,6971.3,1024.437913
New York,0,8.5,1.4,287.7,219.2,516.8,3437,-2920.2,-84.96363107
North Carolina,0,0,0,442.5,172.4,614.9,2472.8,-1857.9,-75.13345196
North Dakota,320.1,1555.1,2456,0,160.5,4491.9,703.9,3788,538.1446228
Ohio,46.6,2451.7,170.1,169.4,163.7,3001.4,3381.3,-379.9,-11.23532369
Oklahoma,0,3319.9,891.9,0,181.9,4393.8,1519.1,2874.7,189.2370483
Oregon,0,0.1,0,0,192.8,192.9,875,-682.1,-77.95428571
Pennsylvania,1122.3,8013.6,27.4,787.1,151.4,10101.8,3607.5,6494.3,180.022176
Rhode Island,0,0,0,0,8.9,8.9,183,-174.1,-95.13661202
South Carolina,0,0,0,581.4,124.3,705.7,1603.9,-898.2,-56.00099757
South Dakota,0,0.1,5.2,0,230.6,236,347.2,-111.2,-32.02764977
Tennessee,0,3.1,1,396.5,101,501.6,2058,-1556.4,-75.62682216
Texas,182.2,14311.7,11443.5,425.2,742.1,27104.7,14137.5,12967.2,91.72201592
Utah,156.6,318.5,321.1,0,29.5,825.7,854,-28.3,-3.31381733
Vermont,0,0,0,0,19.6,19.6,113.1,-93.5,-82.67020336
Virginia,282.8,87.6,0,310,154,834.5,2435.3,-1600.8,-65.73317456
Washington,0,0,0,88.2,352.3,440.4,1602.7,-1162.3,-72.52137019
West Virginia,2201.8,3762.9,105.6,0,19.6,6089.9,832.8,5257.1,631.2560038
Wisconsin,0,0,0,101.2,173.9,275.1,1656.2,-1381.1,-83.38968724
Wyoming,4133,1105.4,551,0,56.2,5845.6,499.8,5345.8,1069.587835
